rms,kurtosis,skewness,peak_to_peak,peak,crest_factor,standard deviation,shape_factor,dominant_freq,freq_energy,file,file_index,RUL
0.07417899856512623,0.6287626426442556,0.08399343541253215,0.8400000000000001,0.454,6.120330670161392,0.07347493104305192,1.2716598450872434,985.3515625,1175764.097826,2004.02.12.10.32.39,0,984
0.07538245681139528,0.6482910813108558,0.05214190733133261,0.757,0.388,5.147086157867801,0.07533812128951384,1.277741723778731,985.3515625,1193109.7186760001,2004.02.12.10.42.39,1,983
0.07622977446919937,0.5134753088232071,0.032807998115035195,0.903,0.503,6.5984715749518195,0.0761892927992494,1.2654562485747707,985.3515625,1219944.4102,2004.02.12.10.52.39,2,982
0.07872367646602975,1.157952723004808,0.04148596171613033,1.184,0.608,7.723216537814511,0.07869075089989153,1.2810331258938084,985.3515625,1300779.5329480001,2004.02.12.11.02.39,3,981
0.07847429073677968,0.6031769286310373,0.028223944368193272,0.782,0.391,4.982523528775831,0.07843746411081838,1.278895523568381,985.3515625,1292669.1726160003,2004.02.12.11.12.39,4,980
0.07831464139380724,0.4560936214628657,0.026852972301411045,0.8049999999999999,0.439,5.605592928562067,0.07829782000144782,1.2699292824183392,986.328125,1286773.869388,2004.02.12.11.22.39,5,979
0.07863244325857172,0.4786149756059883,0.05859457915072469,0.796,0.408,5.18869798638139,0.07861603186545633,1.2694129000321206,985.3515625,1297222.7441280002,2004.02.12.11.32.39,6,978
0.07777288022464836,0.4719824550317826,0.08258181795504879,0.749,0.415,5.336050289011607,0.07774646967579023,1.2701481055302222,985.3515625,1269348.9518660002,2004.02.12.11.42.39,7,977
0.07902942984262255,0.404514320897305,-0.00806029371074217,0.747,0.386,4.884256419015951,0.07900619543360511,1.2689100800902766,986.328125,1310563.45476,2004.02.12.11.52.39,8,976
0.07571755989830316,0.32520331504832,0.04632106694487998,0.722,0.378,4.992236946194446,0.07568852631669241,1.2642175979367838,986.328125,1203249.1763560004,2004.02.12.12.02.39,9,975
0.07924111648011797,0.4552119318712826,0.033519746761893815,0.815,0.415,5.237180121056545,0.07922086801763584,1.2705130374124172,985.3515625,1317506.9293320002,2004.02.12.12.12.39,10,974
0.077638908086269,0.6415150749455005,0.01956529813238818,0.913,0.474,6.105186325821477,0.07762333368719734,1.2761655417786268,985.3515625,1264622.7334240002,2004.02.12.12.22.39,11,973
0.07740458087623109,0.3647260382142652,0.025770055100995184,0.778,0.4,5.167652811654581,0.07736575740151559,1.2670309845703653,985.3515625,1257751.243314,2004.02.12.12.32.39,12,972
0.07986468720103242,0.5982531546782233,0.03674979151112732,0.852,0.432,5.409149088790465,0.07985799357629145,1.27572009050398,985.3515625,1337861.449368,2004.02.12.12.42.39,13,971
0.07921698007145074,0.5511103583412886,0.024887726210298063,0.8049999999999999,0.422,5.327140716792938,0.07918146190235564,1.2706950771710044,985.3515625,1317211.7462600002,2004.02.12.12.52.39,14,970
0.07866177721938719,0.5530516614826197,-0.013483613994623054,0.725,0.371,4.716394837676797,0.07864707093207793,1.276343571157088,985.3515625,1298106.8168580001,2004.02.12.13.02.39,15,969
0.07845338360094803,0.47996609907349486,0.01645553133519376,0.8200000000000001,0.439,5.59567962336675,0.07842744893849181,1.267759395527615,985.3515625,1291633.8423680002,2004.02.12.13.12.39,16,968
0.07762277416041877,0.4477488811593342,0.020390510898382737,0.849,0.444,5.7199707792253,0.07760498435587541,1.2674247718467753,986.328125,1264174.8098040002,2004.02.12.13.22.39,17,967
0.07782555832949016,0.34144531637324205,0.0035138311433548833,0.761,0.405,5.203945961882484,0.07777670281156139,1.2659819162301091,985.3515625,1271800.2912400002,2004.02.12.13.32.39,18,966
0.07893316063389487,0.5964296522845243,-0.03212357182340833,0.874,0.471,5.967073866262322,0.07890076758853798,1.2763602733939345,985.3515625,1307690.9886140001,2004.02.12.13.42.39,19,965
0.07902854786058722,0.5063801110635779,0.06155298503420974,0.8029999999999999,0.415,5.25126693118661,0.07901527413866453,1.270323078046217,985.3515625,1310215.3605040002,2004.02.12.13.52.39,20,964
0.07936328499916934,0.38440684339994036,0.03774414644161837,0.742,0.381,4.8007085392696105,0.07934267114626233,1.2673125878895055,985.3515625,1321582.7490400001,2004.02.12.14.02.39,21,963
0.07948672040475141,0.4149724425540562,0.019707753869455658,0.6859999999999999,0.344,4.327766930731702,0.07946629829958578,1.271530240278966,985.3515625,1325671.3045280003,2004.02.12.14.12.39,22,962
0.07975294340914243,0.5200740317916859,-0.03851889509533162,0.759,0.393,4.927717814549634,0.07972131548057863,1.2739281936679046,985.3515625,1334954.3753,2004.02.12.14.22.39,23,961
0.07938138784581765,0.4846810415588352,-0.03654917711406782,0.85,0.437,5.505068780717017,0.07935676530457542,1.2711717774114197,985.3515625,1322319.9174760003,2004.02.12.14.32.39,24,960
0.07759187944533484,0.3099755507638151,0.02661977236622138,0.7130000000000001,0.405,5.219618378819285,0.07756141544378374,1.2651793341633069,985.3515625,1263579.2132520003,2004.02.12.14.42.39,25,959
0.07774099563514575,0.36804211992333746,0.0013370289616362462,0.732,0.388,4.990931706367161,0.07772622576182905,1.2651298797972983,985.3515625,1267928.7945760004,2004.02.12.14.52.39,26,958
0.07751394405806931,0.40420833824649316,-0.0326706483190684,0.769,0.4,5.160361853092411,0.0774813044446991,1.2647473464437449,985.3515625,1261115.5719500002,2004.02.12.15.02.39,27,957
0.07827954401833694,0.34199171275367135,0.0336968760418546,0.735,0.391,4.9949192334131185,0.07824409152481353,1.2645351844513213,985.3515625,1286227.574216,2004.02.12.15.12.39,28,956
0.07886118143611597,0.5350200636292444,-0.006817488878259677,0.871,0.488,6.188088881160373,0.07882328465921586,1.2742204712983922,985.3515625,1305489.2544000002,2004.02.12.15.22.39,29,955
0.07858236746600665,0.4890447103350155,-0.002622713624016431,0.803,0.403,5.128376924687727,0.0785494350087652,1.2730822178569126,985.3515625,1296112.5907200004,2004.02.12.15.32.39,30,954
0.08023091764702917,0.4867117699711172,0.023062207577248684,0.774,0.396,4.935753093865595,0.08021030375043676,1.2693166958113966,985.3515625,1350627.1550200002,2004.02.12.15.42.39,31,953
0.07742107025313345,0.5086729705515918,-0.018266270678337734,0.732,0.388,5.011555623442141,0.07739824509206791,1.2756523093554757,986.328125,1257778.630236,2004.02.12.15.52.39,32,952
0.07901612461528817,0.40449241574751404,0.029730785177960028,0.74,0.376,4.758522413376508,0.07899110019602928,1.2688576026542322,986.328125,1310179.91815,2004.02.12.16.02.39,33,951
0.07823475415576188,0.40668092875128137,-0.014541133659960096,0.6619999999999999,0.359,4.588753475025269,0.07822305672439377,1.2715888792939274,986.328125,1283982.625376,2004.02.12.16.12.39,34,950
0.07812870584960675,0.4218788787843972,-0.01172375956620688,0.71,0.356,4.556583859014373,0.07810817348945709,1.2702694794920324,985.3515625,1280772.8047800001,2004.02.12.16.22.39,35,949
0.07686189103169887,0.40962780617356787,-0.012802938401103157,0.76,0.413,5.373273991264062,0.07683498673524616,1.2677555742188675,985.3515625,1239810.6976480004,2004.02.12.16.32.39,36,948
0.07986518700725069,0.5706517890996228,-0.00977710015105737,0.8089999999999999,0.457,5.722142739846218,0.07984444085763252,1.2740636018844833,985.3515625,1338350.7437600002,2004.02.12.16.42.39,37,947
0.07742917473155306,0.35696928410462325,0.045148257836814844,0.734,0.378,4.881880780862329,0.07739473796891001,1.2647920687579763,985.3515625,1258418.425516,2004.02.12.16.52.39,38,946
0.0784612560514543,0.6561008820895786,-0.0005041417219279597,0.896,0.498,6.347081668861065,0.07843592197972266,1.277570904574364,986.328125,1291867.186568,2004.02.12.17.02.39,39,945
0.0785959604559929,0.5058926832599493,-0.037502147041766576,0.725,0.371,4.720344377084477,0.07855648477783131,1.2763738475521007,985.3515625,1296779.400322,2004.02.12.17.12.39,40,944
0.07866142681365101,0.45311400755295494,-0.008567194109819449,0.747,0.393,4.996095493297081,0.0786407433781452,1.2704626473197995,985.3515625,1298319.8274800002,2004.02.12.17.22.39,41,943
0.07762854039078106,0.43076402223267607,0.04469583003677712,0.779,0.449,5.783955201781972,0.07760924722037751,1.2695351392468994,985.3515625,1264405.505904,2004.02.12.17.32.39,42,942
0.07820874324224403,0.488396336752809,-0.00635618800427186,0.749,0.415,5.3063120924290725,0.07818452198751644,1.272559826990979,985.3515625,1283537.811718,2004.02.12.17.42.39,43,941
0.07808856431612202,0.5367816627512911,0.030868202418370145,0.913,0.469,6.006001059276373,0.07807192688424783,1.2721801079743082,985.3515625,1279337.039168,2004.02.12.17.52.39,44,940
0.07648226248359404,0.45767000589970763,0.018150122530682537,0.705,0.361,4.7200486528158985,0.07646238946336069,1.272257804745599,985.3515625,1227368.5272920004,2004.02.12.18.02.39,45,939
0.07891327536794347,0.3564760255027606,0.06839076596299973,0.6890000000000001,0.364,4.612658621794652,0.07888778445886611,1.2673222903677828,985.3515625,1306803.0037720003,2004.02.12.18.12.39,46,938
0.07732266473953077,0.49828610176171706,0.014921276074399668,0.752,0.396,5.121396182270311,0.07729310252096656,1.271853431820901,985.3515625,1254800.6297280004,2004.02.12.18.22.39,47,937
